Year,Rainfall_mm,Soil_Moisture,Temperature_C,Crop_Type,Fertilizer_kg_per_ha,Crop_Yield_tons_per_ha
2006,405.8,0.25,28.3,Pigeon Peas,33.0,2.97
2019,584.2,0.75,29.6,Sorghum,43.5,5.69
2014,300.8,0.28,18.3,Maize,76.8,4.23
2010,405.0,0.77,23.0,Pigeon Peas,45.1,4.08
2007,831.5,0.47,25.2,Maize,30.4,6.31
2020,798.5,0.31,28.4,Beans,57.3,4.26
2006,580.7,0.53,23.6,Pigeon Peas,58.6,5.26
2018,530.2,0.72,24.9,Pigeon Peas,62.9,5.81
2022,608.8,0.64,21.5,Maize,54.7,5.06
2010,952.2,0.68,20.4,Pigeon Peas,58.5,8.54
2010,660.7,0.6,29.3,Pigeon Peas,68.4,7.45
2023,736.5,0.62,19.5,Pigeon Peas,42.5,5.98
2020,569.6,0.71,32.0,Beans,40.6,3.89
2003,609.1,0.35,27.2,Maize,39.1,4.44
2007,697.1,0.49,27.0,Pigeon Peas,47.3,6.26
2023,618.9,0.33,26.7,Sorghum,64.3,5.96
2002,315.4,0.79,24.2,Sorghum,55.3,5.95
2021,792.1,0.77,26.2,Sorghum,54.9,8.6
2020,507.7,0.22,24.4,Sorghum,31.8,3.64
2001,916.7,0.62,26.7,Beans,43.1,5.56
2023,703.0,0.76,24.9,Pigeon Peas,31.6,7.06
2011,610.6,0.31,22.1,Maize,61.7,4.66
2005,665.9,0.54,22.4,Pigeon Peas,65.9,6.14
2001,583.7,0.75,22.0,Beans,57.8,4.25
2020,527.0,0.22,27.9,Sorghum,40.1,4.35
2000,631.1,0.62,23.1,Beans,64.8,3.88
2011,732.7,0.38,19.3,Pigeon Peas,47.5,5.18
2021,530.3,0.75,26.2,Maize,37.9,4.96
2011,506.7,0.78,29.5,Beans,40.4,4.53
2024,546.7,0.77,27.3,Maize,45.7,4.87
2016,742.8,0.48,23.2,Beans,50.5,4.3
2009,817.9,0.72,20.2,Maize,48.4,7.34
2015,654.3,0.71,24.6,Maize,35.9,4.85
2014,687.2,0.39,24.5,Sorghum,62.1,5.56
2014,505.5,0.7,22.1,Maize,48.5,4.48
2018,731.5,0.22,26.7,Sorghum,42.9,5.55
2011,682.8,0.56,30.5,Pigeon Peas,61.1,5.37
2022,493.5,0.34,25.7,Pigeon Peas,38.2,4.23
2019,331.8,0.27,25.5,Sorghum,33.7,4.02
2024,416.9,0.25,22.2,Sorghum,62.7,3.83
2002,499.6,0.62,29.2,Beans,68.9,4.12
2004,774.3,0.4,24.8,Beans,45.4,4.63
2018,832.9,0.63,23.3,Beans,49.5,5.11
2006,534.1,0.24,25.2,Pigeon Peas,38.5,4.41
2020,538.8,0.39,26.4,Beans,50.1,3.66
2008,639.2,0.52,25.4,Maize,45.2,4.74
2006,601.8,0.67,28.6,Maize,49.0,6.09
2017,739.6,0.39,26.2,Beans,54.1,4.95
2003,521.5,0.58,24.1,Maize,39.0,5.13
2024,742.4,0.73,26.2,Pigeon Peas,46.4,7.27
2013,564.1,0.57,26.5,Maize,32.0,3.81
2017,728.1,0.34,21.1,Pigeon Peas,46.5,6.28
2008,559.3,0.21,28.4,Sorghum,49.1,5.44
2020,508.0,0.72,24.1,Sorghum,52.3,5.11
2001,886.8,0.21,24.2,Sorghum,52.4,6.96
2019,759.8,0.72,27.3,Sorghum,59.0,7.88
2014,331.2,0.52,27.2,Maize,34.6,4.21
2006,533.0,0.76,22.9,Beans,35.1,4.21
2011,780.7,0.68,27.4,Maize,55.3,5.94
2007,420.5,0.8,23.3,Pigeon Peas,29.6,5.65
2014,715.6,0.41,30.5,Maize,51.8,5.46
2002,700.1,0.66,22.5,Maize,38.2,5.46
2013,495.1,0.44,25.7,Pigeon Peas,65.7,4.96
2016,598.7,0.49,22.7,Sorghum,52.5,5.05
2003,286.5,0.58,31.7,Sorghum,47.8,4.18
2017,865.6,0.72,21.3,Sorghum,62.3,8.72
2007,553.6,0.79,26.6,Beans,39.4,3.95
2003,720.6,0.66,22.8,Pigeon Peas,41.3,6.56
2001,692.1,0.45,23.9,Pigeon Peas,37.4,5.14
2005,803.7,0.45,26.4,Maize,41.3,5.68
2021,535.0,0.64,28.7,Beans,50.6,4.1
2009,630.6,0.34,29.9,Sorghum,54.9,6.04
2003,683.9,0.27,20.4,Beans,59.6,3.47
2021,730.9,0.41,25.8,Pigeon Peas,31.8,5.39
2017,773.2,0.37,29.4,Pigeon Peas,48.3,7.06
2011,528.4,0.38,19.9,Maize,38.9,3.93
2001,500.4,0.34,25.9,Maize,47.9,4.15
2009,804.0,0.23,25.0,Pigeon Peas,73.3,6.48
2003,294.4,0.21,26.2,Sorghum,52.9,4.48
2013,835.5,0.79,22.7,Sorghum,59.0,9.11
2015,554.7,0.46,20.7,Beans,69.6,4.39
2014,599.3,0.43,19.3,Pigeon Peas,61.3,5.06
2007,497.6,0.61,27.9,Pigeon Peas,45.5,5.27
2013,592.8,0.33,28.3,Sorghum,37.2,5.59
2022,790.7,0.77,25.9,Sorghum,49.7,7.37
2024,715.6,0.67,23.4,Pigeon Peas,44.3,5.91
2007,673.9,0.25,20.1,Maize,34.8,5.42
2020,613.3,0.45,26.7,Pigeon Peas,52.4,5.35
2015,383.2,0.73,21.7,Pigeon Peas,52.7,5.75
2012,473.4,0.77,22.9,Sorghum,67.7,6.9
2017,548.5,0.48,23.2,Sorghum,46.4,5.8
2014,668.7,0.57,24.4,Maize,52.8,5.76
2020,610.4,0.3,22.7,Maize,43.3,3.82
2023,747.5,0.79,25.1,Beans,58.7,5.28
2024,671.0,0.34,23.1,Pigeon Peas,48.8,6.29
2012,608.2,0.77,27.1,Sorghum,38.3,6.81
2008,941.4,0.59,28.1,Maize,49.9,6.96
2014,660.9,0.56,25.3,Beans,53.9,5.09
2012,535.2,0.51,26.4,Beans,52.6,3.72
2000,879.0,0.34,31.4,Sorghum,60.5,7.17
2024,780.1,0.31,21.5,Sorghum,35.5,6.36
2006,872.4,0.33,21.3,Beans,41.6,4.99
2008,583.4,0.31,27.1,Maize,56.4,3.81
2023,746.4,0.67,30.8,Beans,42.7,4.85
2000,382.1,0.41,24.2,Pigeon Peas,52.4,4.6
2011,717.6,0.23,30.2,Pigeon Peas,25.8,4.88
2007,576.3,0.78,25.3,Sorghum,77.2,7.85
2023,396.7,0.73,23.0,Maize,47.3,4.71
2010,754.9,0.76,22.0,Maize,61.9,7.6
2018,328.5,0.8,26.9,Pigeon Peas,46.6,4.17
2016,313.1,0.3,22.3,Beans,54.1,2.94
2007,654.4,0.44,25.2,Sorghum,64.9,5.92
2002,685.7,0.65,29.8,Beans,61.7,4.13
2002,745.6,0.62,24.1,Beans,48.0,3.92
2000,711.3,0.29,28.9,Beans,48.6,4.31
2004,821.5,0.69,21.4,Maize,60.0,6.78
2009,705.0,0.33,23.4,Pigeon Peas,73.3,5.96
2006,580.2,0.33,20.8,Maize,51.9,3.72
2008,589.0,0.52,25.2,Pigeon Peas,69.6,5.54
2006,557.7,0.56,27.3,Sorghum,47.6,5.82
2008,644.3,0.55,25.2,Sorghum,59.5,7.09
2007,435.4,0.25,28.7,Beans,61.0,3.12
2011,651.1,0.73,22.8,Pigeon Peas,45.9,6.33
2001,587.0,0.36,25.7,Pigeon Peas,42.5,4.75
2000,641.3,0.28,23.4,Pigeon Peas,61.5,6.45
2015,641.8,0.73,26.1,Beans,44.7,4.05
2022,232.2,0.77,26.5,Beans,41.1,2.54
2022,464.8,0.72,26.7,Sorghum,43.2,5.25
2023,583.7,0.69,21.8,Maize,44.6,5.45
2004,591.7,0.59,22.3,Pigeon Peas,58.6,5.28
2002,638.9,0.53,22.9,Pigeon Peas,55.2,5.97
2011,645.4,0.25,24.3,Maize,57.2,4.96
2007,827.4,0.45,25.3,Pigeon Peas,54.2,6.34
2021,646.9,0.42,27.1,Beans,44.1,4.1
2002,553.0,0.36,22.5,Beans,57.0,3.29
2000,360.1,0.63,20.2,Pigeon Peas,61.8,4.12
2002,394.7,0.5,31.5,Beans,55.8,3.31
2004,680.3,0.25,21.6,Beans,54.5,3.33
2014,759.1,0.33,27.5,Pigeon Peas,42.3,4.66
2013,831.2,0.61,25.1,Sorghum,52.1,8.02
2002,475.8,0.25,25.8,Maize,41.8,4.23
2000,554.4,0.71,25.0,Beans,49.8,3.96
2004,636.4,0.5,23.8,Sorghum,33.6,5.42
2022,907.1,0.49,26.4,Beans,33.7,5.35
2013,617.2,0.56,23.7,Beans,48.1,3.67
2006,832.7,0.69,28.5,Maize,44.5,5.76
2008,625.5,0.41,26.7,Beans,51.1,4.26
2014,773.0,0.61,26.8,Maize,48.7,6.06
2014,754.0,0.54,23.5,Maize,50.3,6.39
2009,624.9,0.36,24.3,Maize,56.1,3.9
2012,446.9,0.73,21.4,Sorghum,45.4,4.68
2018,559.6,0.68,23.9,Pigeon Peas,47.8,5.63
2006,823.4,0.6,21.9,Sorghum,64.6,8.17
